ICS_ID,ORG_Entity,Cleaned_Entity,entity_lower,Is_Academic,Lemma_Entity,Lemma_Cleaned,Matched_Category
044f160a-e4a0-46e0-88c6-02cc0859ee0d,Zespo,Zespo,zespo,False,zespo,zespo,Other / Unclear
044f160a-e4a0-46e0-88c6-02cc0859ee0d,ACCREA Bartłomiej Stanczyk,ACCREA Bartłomiej Stanczyk,accrea bartłomiej stanczyk,False,accrea bartłomie stanczyk,accrea bartłomie stanczyk,Other / Unclear
044f160a-e4a0-46e0-88c6-02cc0859ee0d,YouTube,YouTube,youtube,False,YouTube,YouTube,Other / Unclear
04a35915-91e4-499b-8e37-c53ce6948919,RADWAR SA.,RADWAR SA.,radwar sa.,False,radwar SA .,radwar SA .,Other / Unclear
04a35915-91e4-499b-8e37-c53ce6948919,RONTEX,RONTEX,rontex,False,rontex,rontex,Other / Unclear
04a6d3cb-93f0-4535-b923-4515cb01d780,YSMEL,YSMEL,ysmel,False,ysmel,ysmel,Other / Unclear
04e099a7-5c21-4129-a623-091886cc113d,Uniwersytecie Witolda Wielkiego,Uniwersytecie Witolda Wielkiego,uniwersytecie witolda wielkiego,False,uniwersytet Witold wielki,uniwersytet Witold wielki,Other / Unclear
04e099a7-5c21-4129-a623-091886cc113d,Uniwersytecie,Uniwersytecie,uniwersytecie,False,uniwersytet,uniwersytet,Other / Unclear
04e099a7-5c21-4129-a623-091886cc113d,Długos,Długos,długos,False,długos,długos,Other / Unclear
04f6836e-0f80-48d3-b64d-37bd4949ffa3,owi,owi,owi,False,ów,ów,Other / Unclear
04f6836e-0f80-48d3-b64d-37bd4949ffa3,zor,zor,zor,False,zora,zora,Other / Unclear
04f6836e-0f80-48d3-b64d-37bd4949ffa3,Badawczy,Badawczy,badawczy,False,badawczy,badawczy,Other / Unclear
05412fa3-afb4-4791-b227-cb8dcc762465,Film,Film,film,False,film,film,Other / Unclear
05412fa3-afb4-4791-b227-cb8dcc762465,Łódź Film School,Łódź Film School,łódź film school,False,łódź film school,łódź film school,Other / Unclear
054916cc-5ec3-482c-8bde-0b61ccbac164,RICA,RICA,rica,False,rica,rica,Other / Unclear
0578fef8-5270-4ddb-b2bc-55df038dc5f7,Zakładach Górniczych KGHM Polska Miedź S.A,Zakładach Górniczych KGHM Polska Miedź S.A,zakładach górniczych kghm polska miedź s.a,False,zakład górnicze KGHM Polska miedź S . a,zakład górnicze KGHM Polska miedź S . a,Other / Unclear
05889807-e21b-4efe-8ec1-ba1ee3c79fe6,KrioSystem - Polska,KrioSystem - Polska,kriosystem - polska,False,KrioSystem - Polska,KrioSystem - Polska,Other / Unclear
05cfce2d-3eb8-4f5b-a50d-1403186f06b0,iDN,iDN,idn,False,idny_pocincy,idny_pocincy,Other / Unclear
05cfce2d-3eb8-4f5b-a50d-1403186f06b0,Min. Rozwoju,Min. Rozwoju,min. rozwoju,False,min . rozwój,min . rozwój,Other / Unclear
05de10ff-f49a-4ae9-a488-855f9273d25c,Nie,Nie,nie,False,nie,nie,Other / Unclear
05de10ff-f49a-4ae9-a488-855f9273d25c,Galilea,Galilea,galilea,False,galilea,galilea,Other / Unclear
05de10ff-f49a-4ae9-a488-855f9273d25c,Don Bosco,Don Bosco,don bosco,False,don bosco,don bosco,Other / Unclear
05de10ff-f49a-4ae9-a488-855f9273d25c,Brac,Brac,brac,False,brac,brac,Other / Unclear
05de10ff-f49a-4ae9-a488-855f9273d25c,Słowa Bożego,Słowa Bożego,słowa bożego,False,słowo boży,słowo boży,Other / Unclear
05de10ff-f49a-4ae9-a488-855f9273d25c,ekai.,ekai.,ekai.,False,ekai .,ekai .,Other / Unclear
05de10ff-f49a-4ae9-a488-855f9273d25c,Pastores,Pastores,pastores,False,pastores,pastores,Other / Unclear
05de10ff-f49a-4ae9-a488-855f9273d25c,Now,Now,now,False,nowa,nowa,Other / Unclear
060ee746-fc27-4dac-84dd-0e4205a18009,Forbes Women,Forbes Women,forbes women,False,Forbes women,Forbes women,Other / Unclear
06e27eda-694f-4b93-9365-a6edcc7eac1d,Mate,Mate,mate,False,mate,mate,Other / Unclear
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,Gospodarki Mieszkaniowej TBS,Gospodarki Mieszkaniowej TBS,gospodarki mieszkaniowej tbs,False,gospodarka mieszkaniowy tos,gospodarka mieszkaniowy tos,Other / Unclear
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,Miejski,Miejski,miejski,False,miejski,miejski,Other / Unclear
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,Funda,Funda,funda,False,funda,funda,Other / Unclear
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,dla Rozwoju,dla Rozwoju,dla rozwoju,False,dla rozwój,dla rozwój,Other / Unclear
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,Nikosia,Nikosia,nikosia,False,nikosia,nikosia,Other / Unclear
07057f07-89f3-442c-9c1a-c0b8758b516e,Inżynierii produkcji,Inżynierii produkcji,inżynierii produkcji,False,inżynierii produkcja,inżynierii produkcja,Other / Unclear
074dbb57-9820-44b5-9c41-79ce7080f05e,Zakład Gospodarki Komunalnej,Zakład Gospodarki Komunalnej,zakład gospodarki komunalnej,False,zakład gospodarka komunalny,zakład gospodarka komunalny,Other / Unclear
07574562-5d88-4aa3-8db3-705f01b8d3fb,pienza,pienza,pienza,False,pienza,pienza,Other / Unclear
079cb2c5-85e8-48b6-a823-bb99e1ca925c,Seidel-Przywecki,Seidel-Przywecki,seidel-przywecki,False,seidel - przywecki,seidel - przywecki,Other / Unclear
079cb2c5-85e8-48b6-a823-bb99e1ca925c,AQUA PARTNER s.c,AQUA PARTNER s.c,aqua partner s.c,False,aqua partner s.c,aqua partner s.c,Other / Unclear
079cb2c5-85e8-48b6-a823-bb99e1ca925c,Oczyszczalni Ścieków WARTA SA.,Oczyszczalni Ścieków WARTA SA.,oczyszczalni ścieków warta sa.,False,oczyszczalnia Ścieków warta SA .,oczyszczalnia Ścieków warta SA .,Other / Unclear
089d3760-fa2c-454d-8026-fac1384aa98f,sensdx,sensdx,sensdx,False,sensdx,sensdx,Other / Unclear
08a3e25a-22a0-479e-9705-97baed9dbf3f,Zespołów Roboczych KE,Zespołów Roboczych KE,zespołów roboczych ke,False,zespołów robocze KE,zespołów robocze KE,Other / Unclear
08b381a0-b432-46b4-81fb-c87e3cc65850,cra,cra,cra,False,cra,cra,Other / Unclear
08b381a0-b432-46b4-81fb-c87e3cc65850,amovo,amovo,amovo,False,amovo,amovo,Other / Unclear
08b381a0-b432-46b4-81fb-c87e3cc65850,pelcra.pl,pelcra.pl,pelcra.pl,False,pelcra.pl,pelcra.pl,Other / Unclear
08f0dcc0-8c8b-4969-b498-6b10709a5f72,nto.pl,nto.pl,nto.pl,False,nto.pl,nto.pl,Other / Unclear
08ffeb27-7093-4dcd-8e09-e1cea1e11c20,Elsevier Ltd,Elsevier Ltd,elsevier ltd,False,elsevier Li_typtap,elsevier Li_typtap,Other / Unclear
08ffeb27-7093-4dcd-8e09-e1cea1e11c20,EPA-Environmental Protection Agency,EPA-Environmental Protection Agency,epa-environmental protection agency,False,epa - environmental protection agency,epa - environmental protection agency,Other / Unclear
093fe66e-5a4f-4e3a-b8bc-0b422fe35747,ChZZ,ChZZ,chzz,False,Cez,Cez,Other / Unclear
09e47b4f-37eb-4513-b2c1-1c18254dd50f,Park,Park,park,False,park,park,Other / Unclear
0a4018bd-5d24-459f-b5f2-512e7e9e1c3d,tok,tok,tok,False,tok,tok,Other / Unclear
0a4018bd-5d24-459f-b5f2-512e7e9e1c3d,wymiaru sprawiedliwości,wymiaru sprawiedliwości,wymiaru sprawiedliwości,False,wymiar sprawiedliwość,wymiar sprawiedliwość,Other / Unclear
0a88ad9c-4b17-4772-871a-bb16c557f127,Chor,Chor,chor,False,chor,chor,Other / Unclear
0a88ad9c-4b17-4772-871a-bb16c557f127,Pie,Pie,pie,False,pie,pie,Other / Unclear
0a88ad9c-4b17-4772-871a-bb16c557f127,gierskiego,gierskiego,gierskiego,False,gierski,gierski,Other / Unclear
0a88ad9c-4b17-4772-871a-bb16c557f127,wiatu Somogy,wiatu Somogy,wiatu somogy,False,wiat somogy,wiat somogy,Other / Unclear
0a9988d4-5f02-4953-af8d-ebc54032aef7,stytucie Psychologii UKSW,stytucie Psychologii UKSW,stytucie psychologii uksw,False,stytucie psychologie uksw,stytucie psychologie uksw,Other / Unclear
0a9988d4-5f02-4953-af8d-ebc54032aef7,Personality and Individual Differences,Personality and Individual Differences,personality and individual differences,False,personalit and individual differences,personalit and individual differences,Other / Unclear
0ab0b8b1-b211-42d2-94a1-2551a3188935,PI PIB,PI PIB,pi pib,False,PI PIB,PI PIB,Other / Unclear
0ac9e6a6-7808-4a79-9735-7b0545276c4a,SiGW,SiGW,sigw,False,sigw,sigw,Other / Unclear
0ace3dfd-4c81-4e06-80ae-de7b61744c39,Środowisko,Środowisko,środowisko,False,środowisko,środowisko,Other / Unclear
0acec45c-0350-4176-a88d-5990900d8d3e,„Bel Canto,Bel Canto,bel canto,False,bel canto,bel canto,Other / Unclear
0ade2835-230b-4879-8e64-56c8adbc0f50,Pielęgniarek i Położnych,Pielęgniarek i Położnych,pielęgniarek i położnych,False,pielęgniarka i położna,pielęgniarka i położna,Other / Unclear
0ade2835-230b-4879-8e64-56c8adbc0f50,Biulety,Biulety,biulety,False,biulety,biulety,Other / Unclear
0ade2835-230b-4879-8e64-56c8adbc0f50,Lekar,Lekar,lekar,False,lekar,lekar,Other / Unclear
0b3740ce-6d69-4dd7-9602-03de82701a57,DIS,DIS,dis,False,dek,dek,Other / Unclear
0b98bc5f-95ca-4d89-a734-52b71652bd7f,„Echo Katolickie,Echo Katolickie,echo katolickie,False,echo katolickie,echo katolickie,Other / Unclear
0b9c852a-2f7d-40fa-b16e-417cc6e39958,"Beijing EDE Co, Ltd.","Beijing EDE Co, Ltd.","beijing ede co, ltd.",False,"beijing ed co , Li_typtap .","beijing ed co , Li_typtap .",Other / Unclear
0b9c852a-2f7d-40fa-b16e-417cc6e39958,GIG Katowice,GIG Katowice,gig katowice,False,gig katowice,gig katowice,Other / Unclear
0bb64487-2dc2-4bfb-a922-24b8a43bac80,Koordynację jednego,Koordynację jednego,koordynację jednego,False,koordynację jeden,koordynację jeden,Other / Unclear
0bcb718c-bb27-4918-9e7c-3065d068951e,jum EU SST,jum EU SST,jum eu sst,False,jum ey sst,jum ey sst,Other / Unclear
0bd25e4e-95cd-4980-b399-1c5777150ae4,lozo,lozo,lozo,False,lozo,lozo,Other / Unclear
0bd61b6d-8375-41cf-8ce8-fb7742df21fe,EEE,EEE,eee,False,eek,eek,Other / Unclear
0bd61b6d-8375-41cf-8ce8-fb7742df21fe,siemens,siemens,siemens,False,siemens,siemens,Other / Unclear
0bec481a-5281-4e15-8078-78eb94746eb2,opengranary.com,opengranary.com,opengranary.com,False,opengranary .com,opengranary .com,Other / Unclear
0bec481a-5281-4e15-8078-78eb94746eb2,MIT,MIT,mit,False,mit,mit,Other / Unclear
0c0809ca-b435-4e0d-9ba4-83c87f739df5,Jedno,Jedno,jedno,False,jedno,jedno,Other / Unclear
0c357f8c-b268-458d-8571-32c1ec9ed2d1,Covid,Covid,covid,False,covid,covid,Other / Unclear
0c54b7a8-5f21-4368-a864-645dfc444ea7,gran,gran,gran,False,gran,gran,Other / Unclear
0c54b7a8-5f21-4368-a864-645dfc444ea7,sza,sza,sza,False,sza,sza,Other / Unclear
0c54b7a8-5f21-4368-a864-645dfc444ea7,Funk,Funk,funk,False,funk,funk,Other / Unclear
0cc60539-3ca0-46e8-912c-53eaea70ea02,ürz,ürz,ürz,False,ürz,ürz,Other / Unclear
0cc60539-3ca0-46e8-912c-53eaea70ea02,nanoplus,nanoplus,nanoplus,False,nanoplus,nanoplus,Other / Unclear
0cc60539-3ca0-46e8-912c-53eaea70ea02,iCspec,iCspec,icspec,False,icspec,icspec,Other / Unclear
0ce13c68-fe79-4cd5-8171-14bd21e082b9,Harmonia Universalis,Harmonia Universalis,harmonia universalis,False,harmonia universalis,harmonia universalis,Other / Unclear
0ceb76c6-79a7-404b-bdcd-8c712d0cb473,Kancelarii,Kancelarii,kancelarii,False,kancelaria,kancelaria,Other / Unclear
0d03410b-e7a6-4935-a51b-7b6017cd1e00,szech,szech,szech,False,szecho,szecho,Other / Unclear
0d78ff8f-4c47-4edd-b281-3bbb47557851,Praw,Praw,praw,False,prawo,prawo,Other / Unclear
0d78ff8f-4c47-4edd-b281-3bbb47557851,Kanoni,Kanoni,kanoni,False,kanoni,kanoni,Other / Unclear
0daff08f-8b7c-4cd2-ac7a-94ec6cd7982d,Dobrysłownik.pl,Dobrysłownik.pl,dobrysłownik.pl,False,dobrysłownik.pl,dobrysłownik.pl,Other / Unclear
0e3160d2-6cac-4289-9b23-56aa29b4a788,Główne,Główne,główne,False,główny,główny,Other / Unclear
0e3160d2-6cac-4289-9b23-56aa29b4a788,Poli,Poli,poli,False,poli,poli,Other / Unclear
0e3160d2-6cac-4289-9b23-56aa29b4a788,Centralnego Pododdziału Kontrterrorystycznego „BOA,Centralnego Pododdziału Kontrterrorystycznego „BOA,centralnego pododdziału kontrterrorystycznego „boa,False,centralny pododdział kontrterrorystyczny „ boa,centralny pododdział kontrterrorystyczny „ boa,Other / Unclear
0e759be4-eb76-4edf-99af-ef97bc0688be,stwo Gospodarki Morskiej i Żeglugi Śródlądowej,stwo Gospodarki Morskiej i Żeglugi Śródlądowej,stwo gospodarki morskiej i żeglugi śródlądowej,False,stwo gospodarka morski i żeglugi śródlądowa,stwo gospodarka morski i żeglugi śródlądowa,Other / Unclear
0f1b6221-7fa6-42be-9b6f-0dbeafa020f2,BARR,BARR,barr,False,barr,barr,Other / Unclear
0f2a835b-f917-4ccc-a725-6b8e5f830489,Party Politics,Party Politics,party politics,False,party politics,party politics,Other / Unclear
0f2a835b-f917-4ccc-a725-6b8e5f830489,PI twitter,PI twitter,pi twitter,False,PI twitter,PI twitter,Other / Unclear
0f2a835b-f917-4ccc-a725-6b8e5f830489,YouTube,YouTube,youtube,False,YouTube,YouTube,Other / Unclear
0f39e9eb-e742-4906-9688-ddfcf50514a7,VEST,VEST,vest,False,vest,vest,Other / Unclear
0f6f87a3-45e0-4ba5-91b7-9c7382575886,Fabryka Makaronu Sp. z o. o.,Fabryka Makaronu Sp. z o. o.,fabryka makaronu sp. z o. o.,False,fabryka makaron Sp . z o . o .,fabryka makaron Sp . z o . o .,Other / Unclear
0f6f87a3-45e0-4ba5-91b7-9c7382575886,POL-FOODS Sp. z o. o.,POL-FOODS Sp. z o. o.,pol-foods sp. z o. o.,False,pol-foods Sp . z o . o .,pol-foods Sp . z o . o .,Other / Unclear
0f6f87a3-45e0-4ba5-91b7-9c7382575886,Fabryka Makaronu w,Fabryka Makaronu w,fabryka makaronu w,False,fabryka makaron w,fabryka makaron w,Other / Unclear
